lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.79,Cerrado,97.7
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,1.0,Cerrado,84.3
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,2.34,0.68,Amazônia,89.2
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,1.0,2.47,0.97,Amazônia,72.7
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,1.0,2.32,0.73,Amazônia,196.9
2.4148,-61.2102,MUCAJAÍ,RORAIMA,1400308,14,4.0,0.0,0.34,Amazônia,51.6
-9.9507,-36.2295,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Mata Atlântica,165.1
-9.9314,-36.2329,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,0.0,0.0,1.0,Mata Atlântica,115.7
-9.9497,-36.2836,TEOTÔNIO VILELA,ALAGOAS,2709152,27,0.0,0.0,1.0,Mata Atlântica,102.2
-9.9309,-36.26,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,0.0,0.0,1.0,Mata Atlântica,232.9
-9.9502,-36.2566,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Mata Atlântica,372.2
-9.9518,-36.1753,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Mata Atlântica,107.3
-10.293,-36.4642,PENEDO,ALAGOAS,2706703,27,-999.0,0.0,1.0,Mata Atlântica,95.3
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.79,Cerrado,88.8
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,1.0,Cerrado,103.8
-15.2992,-43.7214,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.83,Caatinga,79.5
3.0909,-60.8411,BOA VISTA,RORAIMA,1400100,14,3.0,0.6,1.0,Amazônia,92.5
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,1.0,2.32,0.73,Amazônia,152.6
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,2.34,0.68,Amazônia,64.5
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,1.0,2.47,0.97,Amazônia,84.3
-9.9518,-36.1753,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Mata Atlântica,133.3
-9.9513,-36.2024,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Mata Atlântica,135.6
-15.2992,-43.7214,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.83,Caatinga,82.6
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,0.79,Cerrado,97.9
-15.2795,-43.7254,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,1.0,Caatinga,82.3
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,0.0,0.0,1.0,Cerrado,93.8
-17.5944,-46.7115,PARACATU,MINAS GERAIS,3147006,31,1.0,0.0,0.0,Cerrado,106.3
-17.5744,-46.7156,PARACATU,MINAS GERAIS,3147006,31,1.0,0.0,0.0,Cerrado,120.8
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,86.1
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,133.3
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,67.9
2.0492,-61.8172,IRACEMA,RORAIMA,1400282,14,5.0,0.0,0.37,Amazônia,54.1
-9.9513,-36.2024,CORURIPE,ALAGOAS,2702306,27,-999.0,4.86,0.77,Mata Atlântica,165.8
